problema,n,k,algoritmo,status,synthesis_time_ms,max_memory_mb,expanded_states,used_states,expanded_transitions,used_transitions,heuristic_time_ms
AT,7,10,PORController,OM,,,,,,,
AT,7,10,PORGeneralizedController,OM,,,,,,,
AT,8,1,MonolithicController,OK,748,0.0,82178,0,252433,0,0
AT,8,1,DirectedController,OK,11338,338.13,5898,0,10274,0,2103
AT,8,1,PORController,OK,12772,157.04,139521,0,374289,0,0
AT,8,1,PORGeneralizedController,OK,107,0.0,163,0,730,0,0
AT,8,2,MonolithicController,OM,,,,,,,
AT,8,2,DirectedController,TO,,,,,,,
AT,8,2,PORController,OM,,,,,,,
AT,8,2,PORGeneralizedController,OK,1370,0.0,10621,0,40533,0,0
AT,8,3,MonolithicController,OM,,,,,,,
AT,8,3,DirectedController,OM,,,,,,,
AT,8,3,PORController,OM,,,,,,,
AT,8,3,PORGeneralizedController,OM,,,,,,,
AT,8,4,MonolithicController,OM,,,,,,,
AT,8,4,DirectedController,OM,,,,,,,
AT,8,4,PORController,OM,,,,,,,
AT,8,4,PORGeneralizedController,OM,,,,,,,
AT,8,5,MonolithicController,OM,,,,,,,
AT,8,5,DirectedController,OM,,,,,,,
AT,8,5,PORController,OM,,,,,,,
AT,8,5,PORGeneralizedController,OM,,,,,,,
AT,8,6,MonolithicController,OM,,,,,,,
AT,8,6,DirectedController,OM,,,,,,,
AT,8,6,PORController,OM,,,,,,,
AT,8,6,PORGeneralizedController,OM,,,,,,,
AT,8,7,MonolithicController,OM,,,,,,,
AT,8,7,DirectedController,OM,,,,,,,
AT,8,7,PORController,OM,,,,,,,
AT,8,7,PORGeneralizedController,OM,,,,,,,
AT,8,8,MonolithicController,OM,,,,,,,
AT,8,8,DirectedController,OM,,,,,,,
AT,8,8,PORController,OM,,,,,,,
AT,8,8,PORGeneralizedController,OM,,,,,,,
AT,8,9,MonolithicController,OM,,,,,,,
AT,8,9,DirectedController,OM,,,,,,,
AT,8,9,PORController,OM,,,,,,,
AT,8,9,PORGeneralizedController,OM,,,,,,,
AT,8,10,MonolithicController,OM,,,,,,,
AT,8,10,DirectedController,OM,,,,,,,
AT,8,10,PORController,OM,,,,,,,
AT,8,10,PORGeneralizedController,OM,,,,,,,
AT,9,1,MonolithicController,OK,1679,0.0,233218,0,725779,0,0
AT,9,1,DirectedController,OK,50345,1044.48,14347,0,25382,0,18648
AT,9,1,PORController,OK,38276,795.13,399105,0,1085203,0,0
AT,9,1,PORGeneralizedController,OK,180,0.0,187,0,945,0,0
AT,9,2,MonolithicController,OM,,,,,,,
AT,9,2,DirectedController,OM,,,,,,,
AT,9,2,PORController,TO,,,,,,,
AT,9,2,PORGeneralizedController,OK,2558,0.0,14785,0,61582,0,0
AT,9,3,MonolithicController,OM,,,,,,,
AT,9,3,DirectedController,OM,,,,,,,
AT,9,3,PORController,OM,,,,,,,
AT,9,3,PORGeneralizedController,OM,,,,,,,
AT,9,4,MonolithicController,OM,,,,,,,
AT,9,4,DirectedController,OM,,,,,,,
AT,9,4,PORController,OM,,,,,,,
AT,9,4,PORGeneralizedController,OM,,,,,,,
AT,9,5,MonolithicController,OM,,,,,,,
AT,9,5,DirectedController,OM,,,,,,,
AT,9,5,PORController,OM,,,,,,,
AT,9,5,PORGeneralizedController,OM,,,,,,,
AT,9,6,MonolithicController,OM,,,,,,,
AT,9,6,DirectedController,OM,,,,,,,
AT,9,6,PORController,OM,,,,,,,
AT,9,6,PORGeneralizedController,OM,,,,,,,
AT,9,7,MonolithicController,OM,,,,,,,
AT,9,7,DirectedController,OM,,,,,,,
AT,9,7,PORController,OM,,,,,,,
AT,9,7,PORGeneralizedController,OM,,,,,,,
AT,9,8,MonolithicController,OM,,,,,,,
AT,9,8,DirectedController,OM,,,,,,,
AT,9,8,PORController,OM,,,,,,,
AT,9,8,PORGeneralizedController,OM,,,,,,,
AT,9,9,MonolithicController,OM,,,,,,,
AT,9,9,DirectedController,OM,,,,,,,
AT,9,9,PORController,OM,,,,,,,
AT,9,9,PORGeneralizedController,OM,,,,,,,
AT,9,10,MonolithicController,OM,,,,,,,
AT,9,10,DirectedController,OM,,,,,,,
AT,9,10,PORController,OM,,,,,,,
AT,9,10,PORGeneralizedController,OM,,,,,,,
AT,10,1,MonolithicController,OM,,,,,,,
AT,10,1,DirectedController,OK,228667,2938.88,34316,0,61482,0,115165
AT,10,1,PORController,OK,200301,1546.24,1099265,0,3020821,0,0
AT,10,1,PORGeneralizedController,OK,209,0.0,209,0,1155,0,0
AT,10,2,MonolithicController,OM,,,,,,,
AT,10,2,DirectedController,OM,,,,,,,
AT,10,2,PORController,OM,,,,,,,
AT,10,2,PORGeneralizedController,OM,,,,,,,
AT,10,3,MonolithicController,OM,,,,,,,
AT,10,3,DirectedController,OM,,,,,,,
AT,10,3,PORController,OM,,,,,,,
AT,10,3,PORGeneralizedController,OM,,,,,,,
AT,10,4,MonolithicController,OM,,,,,,,
AT,10,4,DirectedController,OM,,,,,,,
AT,10,4,PORController,OM,,,,,,,
AT,10,4,PORGeneralizedController,OM,,,,,,,
AT,10,5,MonolithicController,OM,,,,,,,
AT,10,5,DirectedController,OM,,,,,,,
AT,10,5,PORController,OM,,,,,,,
AT,10,5,PORGeneralizedController,OM,,,,,,,
AT,10,6,MonolithicController,OM,,,,,,,
AT,10,6,DirectedController,OM,,,,,,,
AT,10,6,PORController,OM,,,,,,,
AT,10,6,PORGeneralizedController,OM,,,,,,,
AT,10,7,MonolithicController,OM,,,,,,,
AT,10,7,DirectedController,OM,,,,,,,
AT,10,7,PORController,OM,,,,,,,
AT,10,7,PORGeneralizedController,OM,,,,,,,
AT,10,8,MonolithicController,OM,,,,,,,
AT,10,8,DirectedController,OM,,,,,,,
AT,10,8,PORController,OM,,,,,,,
AT,10,8,PORGeneralizedController,OM,,,,,,,
AT,10,9,MonolithicController,OM,,,,,,,
AT,10,9,DirectedController,OM,,,,,,,
AT,10,9,PORController,OM,,,,,,,
AT,10,9,PORGeneralizedController,OM,,,,,,,
AT,10,10,MonolithicController,OM,,,,,,,
AT,10,10,DirectedController,OM,,,,,,,
AT,10,10,PORController,OM,,,,,,,
AT,10,10,PORGeneralizedController,OM,,,,,,,
AT,1,11,MonolithicController,OK,5,9.48,16,16,28,18,0
AT,1,11,DirectedController,OK,82,16.81,6,6,8,8,7
AT,1,11,PORController,OK,142,17.39,16,6,28,8,0
AT,1,11,PORGeneralizedController,OK,38,17.52,16,6,28,8,0
AT,1,12,MonolithicController,OK,4,9.59,17,17,30,19,0
AT,1,12,DirectedController,OK,72,17.09,6,6,8,8,5
AT,1,12,PORController,OK,144,22.68,17,6,30,8,0
AT,1,12,PORGeneralizedController,OK,47,19.8,17,6,30,8,0
AT,1,13,MonolithicController,OK,4,9.87,18,18,32,20,0
AT,1,13,DirectedController,OK,81,17.13,6,6,8,8,5
AT,1,13,PORController,OK,186,29.37,18,6,32,8,0
AT,1,13,PORGeneralizedController,OK,39,22.1,18,6,32,8,0
AT,1,14,MonolithicController,OK,5,9.87,19,19,34,21,0
AT,1,14,DirectedController,OK,81,17.41,6,6,8,8,6
AT,1,14,PORController,OK,206,37.47,19,6,34,8,0
AT,1,14,PORGeneralizedController,OK,47,12.01,19,6,34,8,0
AT,1,15,MonolithicController,OK,5,9.88,20,20,36,22,0
AT,1,15,DirectedController,OK,102,17.71,6,6,8,8,7
AT,1,15,PORController,OK,248,47.99,20,6,36,8,0
